abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
distort	vt. 扭曲；使失真；曲解vi. 扭曲；变形
distract	vt. 转移；分心
distress	n. 危难，不幸；贫困；悲痛vt. 使悲痛；使贫困
distribute	vt. 分配；散布；分开；把…分类
distribution	n. 分布；分配；供应
district	n. 区域；地方；行政区
disturb	vt. 打扰；妨碍；使不安；弄乱；使恼怒vi. 打扰；妨碍
disturbance	n. 干扰；骚乱；忧虑
ditch	n.沟,沟渠,壕沟
dive	vi.潜水,跳水,下潜,俯冲n.潜水,跳水,下潜,俯冲
diverse	adj. 不同的，相异的；多种多样的，形形色色的
diversion	n. 转移；消遣；分散注意力
divert	vt. 转移；使…欢娱；使…转向vi. 转移n. (Divert)人名；(法)迪韦尔
divide	v. （使）分开，分成；分配，分担；分隔；（道路）分叉；使产生分歧；（数）除，除以n. 分歧，差异；分水岭；界限
divine	adj.神圣的；非凡的；天赐的；极好的vt. 占卜；预言；用占卜勘探
division	n. [数] 除法；部门；分配；分割；师（军队）；赛区
divorce	n. 离婚；分离；离婚判决；离婚的男子v. 与（某人）离婚；分离， 脱离；彻底分割
dizzy	adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的vt. 使头晕眼花；使混乱；使茫然n. (Dizzy)人名；(英)迪齐
do	də; dʊ/ v. 做，干，办（某事）
dock n. 1. 码头，船坞 2. (法庭中的)被告席，犯人栏  v. 1. 使(船)靠码头，领(船)进港 2. (宇宙飞行器)在外层空间对接
doctor	n.医生,博士,[古]学者,俚修理师vt.授以博士学位,诊断,修改,美治疗,搀混(食物、饮料),修改vi.行医
doctrine	n. 主义；学说；教义；信条
document	n. 文件，公文；[计] 文档；证件vt. 记录，记载
dodge v. 1. 躲开，闪开 2. 躲避，施计逃避义务(责任等) n. 1. 躲闪，躲避 2. 妙计，伎俩
dog	n. 狗；卑鄙的人；(俚)朋友vt. 跟踪；尾随
dole 2  v. 施舍，少量分发
dollar	n. 美元；元 (美国、加拿大、澳大利亚以及其他一些国家的货币单位)n. (Dollar)人名；(英)多拉尔
dolphin n. 海豚
domain	n. 领域；域名；产业；地产n. (Domain)人名；(英、法)多曼
dome	n. 圆屋顶vi. 成圆顶状vt. 加圆屋顶于…上n. (Dome)人名；(法)多姆
domestic	adj. 国内的；家庭的；驯养的；一心只管家务的n. 国货；佣人
dominant	adj. 显性的；占优势的；支配的，统治的n. 显性
dominate	vt. 控制；支配；占优势；在…中占主要地位vi. 占优势；处于支配地位
donate	vt. 捐赠；捐献vi. 捐赠；捐献
donation n. 捐赠，赠品，捐款
donkey	n. 驴子；傻瓜；顽固的人
doom	n. 厄运；死亡；判决；世界末日vt. 注定；判决；使失败n. (Doom) 人名；(泰)伦
door	n. 门；家，户；门口；通道n. (Door)人名；(英)多尔
dorm	n. 宿舍（等于dormitory）n. (Dorm)人名；(瑞典)多尔姆
dormitory	n. 宿舍，学生宿舍adj. 住宅区的
dose	n. 剂量；一剂，一服vi. 服药vt. 给药；给…服药n. (Dose)人名；
dot 1. n.点，圆点 vt.打点于
double	n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走, 加倍努力
doubt	n. 怀疑；疑问；疑惑v. 怀疑；不信；恐怕；拿不准
doubtful	adj. 可疑的；令人生疑的；疑心的；不能确定的
doubtless	adv. 无疑地，肯定地；大概adj. 无疑的，确定的
down	adj.向下的adv.向下,在下面,下去,降下 prep.往下,沿着n.绒毛,软毛,开阔的高地
downstairs	adv. 在楼下adj. 楼下的n. 楼下
downward	adj. 向下的，下降的adv. 向下
dozen	n. 十二个，一打adj. 一打的
draft	n.草稿,草案,草图vt.起草,为...打样,设计v.草拟
drag	v.拖,拖曳,缓慢而费力地行动n.拖拉
dragon 1. n.龙 2. 凶暴的人
drain	n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干
drainage	n. 排水；排水系统；污水；排水面积
drama	n. 戏剧，戏剧艺术；剧本；戏剧性事件n. (Drama)人名；(刚(金))德拉马
dramatic	adj. 巨大的；急剧的；引人注目的；令人激动的；戏剧的
dramatization	n. 编剧；改编成戏剧
drastic	adj. 激烈的；猛烈的n. 烈性泻药
draw	vt. 画；拉；吸引vi. 拉；拖n. 平局；抽签n. （Draw）（英）德劳
drawback	n. 缺点，不利条件；退税
drawer	n. 抽屉；开票人；出票人；起草者；酒馆侍n. n.（德）德拉韦尔
drawing	n. 图画；牵引；素描术v. 绘画；吸引（draw的ing形式）；拖曳
dread	v.惧怕，担心；敬畏n. 恐惧，可怕的人（或物）；（鸟群的）惊飞，惊起；将头发编成“骇人”发型的人adj. 可怕的；令人敬畏的
dreadful adj. 1. 可怕的，令人敬畏的 2. 厉害的，讨厌的，极端的
dream	n.睡梦；梦想，愿望；恍惚；极美好的人（或事物）；幻想；梦境般
dress	n.女服,童装,服装,衣服v.(给...)穿衣
drift	n. 漂流，漂移；趋势；漂流物vi. 漂流，漂移；漂泊vt. 使…漂流； 使…受风吹积
drill	n. 训练；钻孔机；钻子；播种机；演习vi. 钻孔；训练vt. 钻孔；训练；条播n. (Drill)人名；(德、英)德里尔
drink	n.饮料,酒,酗酒,一口(或一些)饮料v.喝,喝酒,(植物、土壤等的)吸水,举杯庆贺
drip	n.水滴v.(使)滴下
drive	n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,
driver	n. 驾驶员；驱动程序；起子；传动器n. (Driver)人名；(德)德里弗；(英)德赖弗
drop	v. 推动；帮助；宣扬；下降；终止n. 滴；落下；空投；微量；滴剂
drought	n. 干旱；缺乏n. (Drought)人名；(英)德劳特
drown	vt. 淹没；把…淹死vi. 淹死；溺死n. (Drown)人名；(英)德朗
drug	n. 药；毒品；麻醉药；滞销货vt. 使服麻醉药；使服毒品；掺麻醉药于vi. 吸毒n. （Drug）（罗）德鲁格（人名）
drum	n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室vi.击鼓,作鼓声vt.打鼓奏
drunk	v. 喝酒（drink 的过去分词）adj. 喝醉的n. 醉汉，醉酒者；酒鬼， 酗酒者；非正式纵饮，醉酒
dry	adj. 干的；口渴的；枯燥无味的；禁酒的vt. 把…弄干vi. 变干n. 干涸n. (Dry)人名；(法)德里
dual	adj. 双的；双重的n. 双数；双数词vt. 把……改为双幅车道n.
dub v. 1. 起绰号 2. (为影片)配音
dubious	adj. 可疑的；暧昧的；无把握的；半信半疑的
duck	n. 鸭子；鸭肉；（英）宝贝儿；零分vi. 闪避；没入水中vt. 躲避； 猛按…入水n. (Duck)人名；(德、葡、匈)杜克
due	adj.到期的；预期的；应付的；应得的；恰当的，适当的n. 应付款；应得之物adv. 正（置于方位词前）n. （Due）迪尤（人名）
dull	adj.钝的；迟钝的；无趣的；呆滞的；阴暗的vt. 使迟钝；使阴暗；
dumb	adj. 哑的，无说话能力的；不说话的，无声音的
dump	vt.倾倒(垃圾),倾卸n.堆存处
duplicate	vt. 复制；使加倍n. 副本；复制品adj. 复制的；二重的vi. 复制； 重复
durable	adj. 耐用的，持久的n. 耐用品
duration	n. 持续，持续的时间，期间；音长，音延
during	prep. 在…...的期间；在......期间的某个时候n. (During) （美、瑞、英）迪兰（人名）
dusk	n. 黄昏，薄暮；幽暗，昏暗adj. 微暗的vt. 使变微暗vi. 变微暗
dust	n. 灰尘；尘埃；尘土vt. 撒；拂去灰尘vi. 拂去灰尘；化为粉末n.
duty	/ n. 责任；[税收] 关税；职务n. (Duty)人名；(英)迪蒂
dwarf n. 矮子，矮小的人(动物、植物) v. 使矮小(显得渺小)，使相形见续出
dwell	vi. 居住；存在于；细想某事
dwelling	n. 住处；寓所v. 居住（dwell的现在分词）
dye	n. 染料；染色v. 染；把……染上颜色；被染色n. (Dye) （美、法） 戴伊（人名）
dying	adj.垂死的
dynamic	adj. 动态的；动力的；动力学的；有活力的n. 动态；动力
each	det. （两个或两个以上的人或物中）各自pron. （两个或两个以上的人或物中）每个adv. 每个地adj. 各自的
eager	adj. 渴望的；热切的；热心的n. (Eager)人名；(英)伊格
eagle	n. 鹰；鹰状标饰n. (Eagle)人名；(英)伊格尔
ear	n. 耳朵；穗；听觉；倾听vi. （美俚）听见；抽穗n. (Ear)人名；
early	adj. 早期的；早熟的adv. 提早；在初期n. (Early)人名；(英)厄尔利
earn	vt. 赚，赚得；获得，挣得；使得到；博得n. (Earn)人名；(泰)炎
earnest	adj. 认真的，热心的；重要的n. 认真；定金；诚挚n. (Earnest)人名；(英)欧内斯特
earnings	n. 收入
earth	n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴vt. 把（电线）[电] 接地；盖（土）；追赶入洞穴vi. 躲进地洞
earthquake	n. 地震；大动荡
ease	n. 容易；舒适；安逸v. 减轻，缓解；小心缓缓地移动；使容易；放松；（使）贬值；（股票价格、利率等）下降，下跌
easily	adv. 容易地；无疑地
east	n.东方,东,东部地区adj.东方的,从向东来的adv.在东方,向东方,朝东方
easter	n. 复活节
eastern	adj. 东方的；朝东的；东洋的n. 东方人；（美国）东部地区的人
easy	adj. 容易的；舒适的adv. 不费力地，从容地vi. 停止划桨vt. 发出停划命令
eat	vt. 吃，喝；腐蚀；烦扰vi. 进食；腐蚀，侵蚀
eccentric	adj. 古怪的，反常的n. 古怪的人
echo	vt. 反射；重复vi. 随声附和；发出回声n. 回音；效仿
eclipse	n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色
ecology	n. 生态学；社会生态学
economic	adj. 经济的，经济上的；经济学的
economical	adj. 经济的；节约的；合算的
economics	n. 经济学；国家的经济状况
economy	n. 经济；节约；理财n. (Economy)人名；(英)伊科诺米
edge	n. 边缘；优势；刀刃；锋利vt. 使锐利；将…开刃；给…加上边vi. 缓缓移动；侧着移动n. (Edge)人名；(英)埃奇
edible	adj. 可食用的n. 食品；食物
edit	vt. 编辑；校订n. 编辑工作n. (Edit)人名；(罗、匈)埃迪特
edition	n. 版本；版次；集
editor	n. 编者，编辑；社论撰写人；编辑装置
editorial	adj. 编辑的，主编的；社论的n. （报刊）社论，（美国电台）评论
educate	vt. 教育；培养；训练vi. 教育；训练
education	n. 教育；培养；教育学
effect	n. 影响；效果；作用vt. 产生；达到目的
effective	adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficiency	n. 效率；效能；功效
efficient	adj. 有效率的；有能力的；生效的
effort	n. 努力；成就
egg	n. 蛋；卵子；家伙；鸡蛋vt. 煽动；怂恿n. (Egg)人名；(法、英)埃格
ego	n. 自我；自负；自我意识n. (Ego)人名；(日)依怙 (姓)；(法)埃戈
eight	num. 八；八个；第八；八岁；八点adj. 八的n. 八人划船队
eighteen	ːn/ n. 十八，十八个adj. 十八个的，十八的num. 十八
eighth	adj. 第八的；八分之一的num. 第八；八分之一
eighty	n. 八十；八十岁；八十年代adj. 八十的，八十个的；八十岁的num. 八十
either	adj.任一的,(两方中的)每一方的 pron.任一,随便任一个 conj.或者, 也
eject	vt. 喷射；驱逐，逐出
elaborate	ɪˈlæbəreɪt; ɪˈl adj. 精心制作的；详尽的；煞费苦心的vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）vi. 详细描述；变复杂
elapse	vi. 消逝；时间过去n. 流逝；时间的过去
elastic	adj. 有弹性的；灵活的；易伸缩的n. 松紧带；橡皮圈
elbow	n. 肘部；弯头；扶手vt. 推挤；用手肘推开
elder	n.年长者,老人,父辈adj.年长的,资格老的,
elderly	adj. 上了年纪的；过了中年的；稍老的
elect	vt.选举,推选v.选择,作出选择,选举,选举,选举
election	n. 选举；当选；选择权；上帝的选拔
electric	adj. 电的；电动的；发电的；导电的；令人震惊的n. 电；电气车辆；带电体
electrical	adj. 有关电的；电气科学的
electrician	n. 电工；电气技师
electricity	n. 电力；电流；强烈的紧张情绪
electron	n. 电子
electronic	adj. 电子的n. 电子电路；电子器件
electronics	n. 电子学；电子工业
elegant	adj. 高雅的，优雅的；讲究的；简炼的；简洁的
element	n. 元素；要素；原理；成分；自然环境n. (Element)人名；(德)埃勒门特；(英)埃利门特
elementary	adj. 基本的；初级的；[化学] 元素的
elephant	n. 象；大号图画纸
elevate	vt. 提升；举起；振奋情绪等；提升…的职位
elevator	n. 电梯；升降机；升降舵；起卸机
eleven	n. 十一；十一个adj. 十一的；十一个的num. 十一；十一个
eleventh	num. 第十一；十一和弦adj. 第十一（个）的n. 十一分之一
elicit	vt. 抽出，引出；引起
eligible	adj. 合格的，合适的；符合条件的；有资格当选的n. 合格者；适任者；有资格者
eliminate	vt. 消除；排除
elimination	n. 消除；淘汰；除去
elite	n. 精英；精华；中坚分子
eloquent	adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
else	adv. 其他；否则；另外adj. 别的；其他的n. (Else)人名；(英)埃尔斯；(德)埃尔泽；(芬、丹)埃尔塞
elsewhere	adv. 在别处；到别处
embark	v. 上船（或飞机）；（使）上船（或登记）；从事
embarrass	v. （尤指在社交场合）使窘迫，使尴尬；使困惑；使为难；使复杂化；陷入经济困难；妨碍（人、移动、行动）
embassy	n. 大使馆；大使馆全体人员
embed	vt. 栽种；使嵌入，使插入；使深留脑中
embody	vt. 体现，使具体化；具体表达n. (Embody)人名；(英)恩博迪
embrace	vt. 拥抱；欣然采纳；信奉；包含vi. 拥抱n. 拥抱；采纳
emerge	vi. 浮现；摆脱；暴露
emergency	n. 紧急情况；突发事件；非常时刻adj. 紧急的；备用的
emit	vt. 发出，放射；发行；发表
emotion	n. 情感；情绪
emotional	adj. 情绪的；易激动的；感动人的
emperor	n. 皇帝，君主
emphasis	n. 重点；强调；加强语气
emphasize	vt. 强调，着重
empire	n. 帝国；帝王统治，君权n. (Empire)人名；(法)昂皮尔
empirical	adj. 经验主义的，完全根据经验的；实证的
employ	vt. 使用，采用；雇用；使忙于，使从事于n. 使用；雇用
employee	n. 雇员；从业员工
employer	n. 雇主，老板
employment	n. 使用；职业；雇用
empty	adj. 空的；无意义的；无知的；徒劳的vt. 使失去；使......成为空的vi. 成为空的；流空n. 空车；空的东西
enable	v. 使能够；使成为可能；授予权利或方法；（计算机）启动
enclose	vt. 围绕；装入；放入封套
enclosure	n. 附件；围墙；围场
encounter	v. 遭遇；邂逅；遇到n. 遭遇；偶然碰见
encourage	vt. 鼓励，怂恿；激励；支持
end	n. 结束；目标；尽头；末端；死亡vi. 结束，终止；终结vt. 结束， 终止；终结n. (End)人名；(英、德)恩德
endeavor	n. 努力；尽力（等于 endeavour）vi. 努力；尽力（等于endeavour）vt. 努力；尽力（等于 endeavour）
ending	n. 结局；结尾；末梢；词尾v. 结束；终止（end 的现在分词）
endless	adj. 无止境的；连续的；环状的；漫无目的的
endow	vt. 赋予；捐赠；天生具有
endurance	n. 忍耐力；耐久性；持续时间
endure	vt. 忍耐；容忍vi. 忍耐；持续
enemy	n. 敌人，仇敌；敌军adj. 敌人的，敌方的
energetic	adj. 精力充沛的；积极的；有力的
energy	n. [物] 能量；精力；活力；精神
enforce	vt. 实施，执行；强迫，强制
engage	vt. 吸引，占用；使参加；雇佣；使订婚；预定；攻击，与……开战；使啮合vi. 从事；参与；答应，保证
engagement	n.婚约；约会；交战；诺言；进场（游戏术语）n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）
engine	n. 引擎，发动机；机车，火车头；工具
engineer	n. 工程师；工兵；火车司机vt. 设计；策划；精明地处理vi. 设计； 建造
engineering	n. 工程，工程学v. 设计；管理（engineer的ing形式）；建造
England	n. 英格兰
English	adj.英格兰人的；英格兰的；英文的n. 英语；英格兰人；（台球中
Englishman 1. n.英国男子
enhance	vt. 提高；加强；增加
enjoy	vt. 欣赏，享受；喜爱；使过得快活
enlarge	vi. 扩大；放大；详述vt. 扩大；使增大；扩展
enlighten	vt. 启发，启蒙；教导，开导；照耀
enormous	adj. 庞大的，巨大的；凶暴的，极恶的
enough	adv. 足够地，充足地n. 很多；充足adj. 充足的int. 够了！
enquire	in’kwaiə/ vi.vt. 询问
enquiry	询问
enrich	vt. 使充实；使肥沃；使富足n. (Enrich)人名；(西)恩里奇
enroll	vt. 登记；使加入；把...记入名册；使入伍vi. 参加；登记；注册； 记入名册
ensue	v. 接着发生，因而发生；追求
ensure	vt. 保证，确保；使安全
entail	vt. 使需要，必需；承担；遗传给；蕴含n. 引起；需要；继承
enter	vt. 进入；开始；参加vi. 参加，登场；进去n. [计] 输入；回车n.
enterprise	n. 企业；事业；进取心；事业心
entertain	vt. 娱乐；招待；怀抱；容纳vi. 款待
entertainment	n. 娱乐；消遣；款待
enthusiasm	n. 热心，热忱，热情
enthusiastic	adj. 热情的；热心的；狂热的
entire	adj. 全部的，整个的；全体的n. (Entire)人名；(英)恩泰尔
entitle	v. 给（某人）权利（或资格）；给……题名；称呼
entity	n. 实体；存在
entrance	n. 入口；进入vt. 使出神，使入迷
entrepreneur	n. 企业家；承包人；主办者
entry	n. 进入；入口；条目；登记；报关手续；对土地的侵占
envelope	n. 信封，封皮；包膜；[天] 包层；包迹
environment	n. 环境，外界
envisage	v. 设想，想像；正视，面对
envy	n. 嫉妒，妒忌；羡慕vt. 嫉妒，妒忌；羡慕vi. 感到妒忌；显示出妒忌
episode	n. 一段经历；插曲；一段情节；（电视连续剧或广播的）一集；插话；有趣的事件
epoch	n. [地质] 世；新纪元；新时代；时间上的一点
equal	adj. 平等的；相等的；胜任的vt. 等于；比得上n. 对手；匹敌；同辈；相等的事物
equality	/ n. 平等；相等；[数] 等式
equation	n. 方程式，等式；相等；[化学] 反应式
equator	n. 赤道
equilibrium	n. 均衡；平静；保持平衡的能力
equip	vt. 装备，配备
equipment	n. 设备，装备；器材
equivalent	adj. （在价值、数量等方面）相等的；等价的；等效的；等量的；同意义的n. 对等的人（或事物）；当量
era	n. 时代；年代；纪元n. (Era)人名；(意、芬、印)埃拉
erect	adj. 竖立的，笔直的；因性刺激而勃起的；（毛发）竖起的v.
erosion	n. 侵蚀，腐蚀
erroneous	adj. 错误的；不正确的
error	n. 误差；错误；过失
erupt	vi. 爆发；喷出；发疹；长牙vt. 爆发；喷出
escape	n.逃,逃亡,溢出设备,出口,逃跑,[植]野生vi.逃脱,避开,溜走vt.逃避,避免,被忘掉
escort	n. 陪同；护航舰；护卫队；护送者vt. 护送；陪同；为…护航
especially	adv. 特别；尤其；格外
essay	n. 散文；试图；随笔vt. 尝试；对…做试验
essence	n. 本质，实质；精华；香精n. (Essence)人名；(英)埃森丝
essential	adj. 基本的；必要的；本质的；精华的n. 本质；要素；要点；必需品
establish	v. 建立，创立；确立；获得接受；查实，证实
establishment	n. 确立，制定；公司；设施
estate	n. 房地产；财产；身份
esthetic	adj. 审美的（等于aesthetic）；感觉的n. 美学；审美家；唯美主义者
estimate	n. 估计，估价；判断，看法v. 估计，估量；判断，评价
eternal	adj. 永恒的；不朽的
ethics	n. 伦理学；伦理观；道德标准
ethnic	adj. 种族的；人种的
Europe	n. 欧洲
European	adj. 欧洲的；欧洲人的；与欧盟有关的n. 欧洲人；欧洲人的后裔； 欧盟成员国国民
evaluate	vt. 评价；估价；求…的值vi. 评价；估价
evaporate	vt. 使……蒸发；使……脱水；使……消失vi. 蒸发，挥发；消失， 失踪
Eve	n. 夏娃； 前夕；傍晚；重大事件关头
even	adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的
evening	n. 晚上；傍晚；（联欢性的）晚会；后期adj. 在晚上的；为晚上的；晚上用的int. 晚上好（等于good evening）
event	n. 事件，大事；赛事；项目；结果
eventually	adv. 最后，终于
ever	adv. 永远；曾经；究竟n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西
every	adj. 每一的，每个的；每隔……的；（用于强调）所有可能的，完全可能的n. (Every) （美、荷、瑞典）埃夫里（人名）
everybody	pron. 每个人，人人
everyday	adj. 每天的，日常的n. 平时；寻常日子
everyone	pron. 每个人；人人
everything	pron. 每件事物，（有关的）一切，万事；形势，情况；最重要的东西n. (Everything) （印、美、澳）艾维辛（人名）
everywhere	adv. 到处n. 每个地方
evidence	n. 证据，证明；迹象；明显vt. 证明
evident	adj. 明显的；明白的
evil	adj. 邪恶的；不幸的；有害的；讨厌的n. 罪恶，邪恶；不幸
evoke	vt. 引起，唤起；博得
evolution	n. 演变；进化论；进展
evolve	vt. 发展；进化；使逐步形成；推断出vi. 发展，进展；进化；逐步形成
exact	adj. 准确的，精密的；精确的vt. 要求；强求；急需vi. 勒索钱财
exactly	adv. 恰好地；正是；精确地；正确地
exaggerate	vt. 使扩大；使增大vi. 夸大；夸张
exam	n. 考试；测验
examination	n. 考试；检查；查问
examine	vt. 检查；调查； 检测；考试vi. 检查；调查
example	n. 例子；榜样vt. 作为…的例子；为…做出榜样vi. 举例
exceed	vt. 超过；胜过vi. 超过其他
exceedingly	adv. 非常；极其；极度地；极端
excellent	adj. 卓越的；极好的；杰出的
except	prep. 除……之外conj. 只是；除非；除……之外；要不是由于v. 不计，把……除外；反对
exception	n. 例外；异议
exceptional	adj. 异常的，例外的n. 超常的学生
excess	n. 超过，超额；过度，过量；无节制adj. 额外的，过量的；附加的
excessive	adj. 过多的，极度的；过分的
exchange	n. 交换；交流；交易所；兑换vt. 交换；交易；兑换vi. 交换；交易；兑换
excite	v. 使兴奋；刺激，使紧张不安；激起，引发；激发，激励；激发（性欲）；使……活动
exciting	adj. 令人兴奋的；使人激动的v. 激动；刺激（excite的ing形式）； 唤起
exclaim	vi. 呼喊，惊叫；大声叫嚷vt. 大声说出
exclude	vt. 排除；排斥；拒绝接纳；逐出
exclusive	adj. 独有的；排外的；专一的n. 独家新闻；独家经营的项目；排外者
exclusively	adv. 唯一地，专有地，排外地；作为唯一的（消息）来源
excursion	n. 偏移；远足；短程旅行；离题；游览，游览团
excuse	n. 借口；理由；拙劣样品；假条v. 原谅；为……申辩；准许……离开；给……免去；作为借口；请求宽恕
execute	vt. 实行；执行；处死
execution	n. 执行，实行；完成；死刑
executive	adj. 经营管理的；有执行权的；高级的；供重要人物使用的n. 主管；行政领导；（政府的）行政部门；执行委员会
exemplify	vt. 例证；例示
exempt	adj. 被免除（责任或义务）的，获豁免的v. 免除，豁免n. 被免除义务者（尤指被免税者）
exercise	n. 运动；练习；运用；操练；礼拜；典礼vt. 锻炼；练习；使用；使忙碌；使惊恐vi. 运动；练习
exert	vt. 运用，发挥；施以影响
exhaust	v. 使精疲力尽；耗尽；彻底探讨；排出（气体）n. 废气；排气管
exhibit	vt. 展览；显示；提出（证据等）n. 展览品；证据；展示会vi. 展出；开展览会
exhibition	n. 展览，显示；展览会；展览品
exile	n. 流放，充军；放逐，被放逐者；流犯vt. 放逐，流放；使背井离乡
exist	vi. 存在；生存；生活；继续存在
existence	n. 存在，实在；生存，生活；存在物，实在物
exit	n. 出口，通道；退场vi. 退出；离去
exotic	adj. 异国的；外来的；异国情调的
expand	vt. 扩张；使膨胀；详述vi. 发展；张开，展开
expansion	n. 膨胀；阐述；扩张物
expect	vt. 期望；指望；认为；预料vi. 期待；预期
expectation	n. 期待；预期；指望
expedition	n. 远征；探险队；迅速
expel	vt. 驱逐；开除
expend	vt. 花费；消耗；用光；耗尽
expenditure	n. 支出，花费；经费，消费额
expense	n. 损失，代价；消费；开支vt. 向…收取费用vi. 被花掉
expensive	adj. 昂贵的；花钱的
experience	n. 经验；经历；体验vt. 经验；经历；体验
experiment	n. 实验，试验；尝试v. 尝试；试验；进行实验
experimental	adj. 实验的；根据实验的；试验性的
expert	n. 专家；行家；能手adj. 熟练的；内行的；老练的v. 当专家n.
expertise	ːz/ n. 专门知识；专门技术；专家的意见
expire	vi. 期满；终止；死亡；呼气vt. 呼出（空气）
explain	v. 说明；解释
explanation	n. 说明，解释；辩解
explicit	adj. 明确的；清楚的；直率的；详述的
explode	vi. 爆炸，爆发；激增vt. 使爆炸；爆炸；推翻
exploit	vt. 开发，开拓；剥削；开采n. 英雄事迹；英勇行为；奇遇
explore	vt. 探索；探测；探险vi. 探索；探测；探险
explosion	n. 爆炸；爆发；激增n. （Explosion）《引爆者》（一部中国动作、犯罪电影）。
explosive	adj. 爆炸的；爆炸性的；爆发性的n. 炸药；爆炸物
export	n. 输出，出口；出口商品vi. 输出物资vt. 输出，出口
expose	vt. 揭露，揭发；使曝光；显示
exposition	n. 博览会；阐述；展览会
exposure	n. 暴露；曝光；揭露；陈列
express	vt. 表达；快递adj. 明确的；迅速的；专门的n. 快车，快递，专使；捷运公司
expression	n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号； 词句，语句，措辞，说法
exquisite	adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的n. 服饰过于讲究的男子
extend	vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价vi. 延伸；扩大；伸展；使疏开
extension	n. 拓展；延伸；接发；（医学）牵引；（计算机）拓展名；（逻辑） 外延
extensive	adj. 广泛的；大量的；广阔的
extent	n. 程度；范围；长度
exterior	adj. 外部的，外面的，外在的；（电影场景）室外的；外界的n.
external	adj. 外部的；表面的；[药] 外用的；外国的；外面的n. 外部；外观；外面
extinct	adj. 灭绝的，绝种的；熄灭的vt. 使熄灭
extinguish	vt. 熄灭；压制；偿清
extra	adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员
extract 2  n. 节录，引文，选段
extraordinary	adj. 非凡的；特别的；离奇的；特派的
extravagant	adj. 奢侈的；浪费的；过度的；放纵的
extreme	adj. 极端的；极度的；偏激的；尽头的n. 极端；末端；最大程度； 极端的事物
extremely	adv. 非常，极其；极端地
eye	n. 眼睛；视力；眼光；见解，观点vt. 注视，看n. (Eye)人名；(德) 艾厄；(英)艾
eyesight	n. 视力；目力
fable 1. n.寓言 2. 虚构的故事
fabric	‘fæbrik/ n.织物，纺织品；结构
fabricate	vt. 制造；伪造；装配
face	n.脸；表面；外表
facet	n. 面；方面；小平面vt. 在…上琢面
facilitate	vt. 促进；帮助；使容易
facility	n. 设施，设备；（机器等的）特别装置，特殊功能；（特定用途的） 场所；才能，天赋
fact	n. 事实；实际；真相
factor	‘fæktə/ n.因素；因子，系数
factory	n. 工厂；制造厂；代理店
faculty	n. 科，系；能力，官能；全体教员
fade	vi.褪色；凋谢；逐渐消失vt. 使褪色adj. 平淡的；乏味的n. [电影][电视] 淡出；[电影][电视] 淡入n. (Fade)人名；(法)法德
Fahrenheit	adj. 华氏温度计的；华氏的n. 华氏温度计；华氏温标
fail	vi.失败，不及格；破产；缺乏；衰退vt. 不及格；使失望；忘记； 舍弃n. 不及格n. (Fail)人名；(葡、捷)法伊尔；(法)法伊
failure	n. 失败；故障；失败者；破产
faint	adj. 模糊的；头晕的；虚弱的；[医] 衰弱的vi. 昏倒；变得微弱； 变得没气力n. [中医] 昏厥，昏倒
fair	adj.公平的；美丽的，白皙的；[气象] 晴朗的adv. 公平地；直接
fairly	adv. 相当地；公平地；简直n. (Fairly)人名；(英)费尔利
faith	n. 信仰；信念；信任；忠实n. (Faith)人名；(匈)福伊特；(英)费思，费丝(女名)；(瑞典)法伊特
faithful	adj. 忠实的，忠诚的；如实的；准确可靠的n. (Faithful)人名；
fake	n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装
fall	n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临, 失守,变成,垮台,下跌,阵亡vt.美英方击倒,砍倒(树木)adj.秋天的
FALSE	adj. 错误的；虚伪的；伪造的adv. 欺诈地
fame	n. 名声，名望；传闻，传说vt. 使闻名，使有名望
familiar	adj. 熟悉的；常见的；亲近的n. 常客；密友n. （Familiar）（西） 法米利亚尔（人名）
family	n. 家庭；亲属；家族；子女；[生]科；语族；[化]族adj. 家庭的； 家族的；适合于全家的
